CODE_SITE;CODE_CELLULE;TYPE_CELLULE;VENTILATION;CAPACITE
D700;M000;;OUI;0
D700;M001;;OUI;100
D700;M002;;OUI;100
D700;M003;;OUI;100
D700;M004;;OUI;100
D700;M005;;OUI;100
D700;M006;;OUI;100
D700;M007;;OUI;100
D700;M008;;OUI;100
D700;M701;Béton;;1000
D700;M702;Béton;;800
D701;M000;;;0
D701;M001;Type_privé;OUI;1500
D701;M002;Type_privé;OUI;1500
D701;M101;;;12
D701;M102;;;15
D702;M000;;;0
D702;M001;Béton;OUI;1250
D702;M002;Béton;OUI;1250
D702;M003;Béton;OUI;1250
D702;M004;Béton;OUI;1250
D702;M101;;;50
D702;M102;;;50
D702;M103;;;50
D702;M104;;;51
D704;C01;Cellule_Metal_Fond_plat;;200
D704;C02;Cellule_Metal_Fond_plat;;600
D704;C03;Cellule_Metal_Fond_plat;;600
D704;C04;Cellule_Metal_Fond_plat;;600
D704;C05;Cellule_Metal_Fond_conique;;180
D704;C06;Cellule_Metal_Fond_plat;;100
D708;M000;;OUI;0
D708;M701;;;180
D708;M702;;;120
D402;M000;;;0
D402;M001;Béton;OUI;800
D402;M002;Béton;OUI;800
D402;M003;Béton;OUI;800
D402;M004;Béton;OUI;800
D402;M101;;;25
D402;M102;;;25
D402;M103;;OUI;70
D402;M104;;OUI;70
D402;M105;;OUI;70
D402;M106;;OUI;70
D402;M107;;OUI;70
D402;M108;;OUI;70
D631;M000;;;0
D631;M011;Type_privé;OUI;2000
D631;M012;Type_privé;OUI;2000
D631;M013;Type_privé;OUI;2000
D631;M014;Type_privé;OUI;2000
D631;M101;;;60
D631;M102;;;200
D631;M103;;;200
D631;M104;;;200
D631;M105;;;200
D631;M106;;;120
D631;M107;;;60
D631;M401;Béton;OUI;9500
D631;M402;Béton;OUI;9500
D631;M403;Béton;OUI;2500
D631;M404;Béton;OUI;2500
D631;M405;Béton;OUI;2500
D631;M406;Béton;OUI;2500
D631;M407;;;300
D633;M000;;;0
D633;M001;;OUI;150
D633;M002;;OUI;200
D633;M003;;OUI;200
D633;M004;;OUI;250
D633;M005;Type_privé;OUI;250
D633;M006;Type_privé;OUI;250
D633;M007;Type_privé;OUI;250
D633;M008;Type_privé;OUI;250
D633;M009;Type_privé;OUI;250
D633;M010;Type_privé;OUI;250
D633;M011;Type_privé;OUI;250
D633;M012;Type_privé;OUI;200
D633;M013;Type_privé;OUI;200
D633;M014;Type_privé;OUI;150
D633;M021;;OUI;1200
D633;M022;;OUI;1200
D633;M023;;OUI;1200
D633;M024;Béton;OUI;1200
D633;M025;Béton;OUI;1200
D633;M026;Béton;OUI;1200
D633;M127;;;270
D633;M128;;;160
D633;M129;;;320
D633;M130;;;160
D633;M301;;;50
D633;M302;;;50
D633;M303;;;50
D633;M304;;;50
D633;M305;;;50
D633;M306;;;50
D651;M000;;;0
D651;M001;Béton;OUI;1000
D651;M002;Béton;OUI;1000
D651;M003;Béton;OUI;1000
D651;M004;Béton;OUI;1000
D651;M101;;;25
D651;M102;;;100
D651;M103;;;100
D651;M401;;OUI;8000
D651;M402;;OUI;8000
D651;M403;;OUI;8000
D651;M404;;OUI;8000
D654;M000;;;0
D654;M301;;OUI;200
D654;M302;;OUI;200
D654;M303;;OUI;200
D654;M304;;OUI;250
D654;M305;;OUI;500
D654;M306;;OUI;150
D654;M307;;OUI;150
D654;M308;;OUI;150
D654;M309;;OUI;150
D654;M310;;OUI;500
D657;M000;;;0
D657;M001;Type_privé;OUI;700
D657;M002;Type_privé;OUI;700
D657;M003;Type_privé;OUI;1000
D657;M004;Type_privé;OUI;1000
D657;M005;Type_privé;OUI;1300
D657;M006;Type_privé;OUI;1300
D657;M007;Type_privé;OUI;1300
D657;M008;Type_privé;OUI;3200
D657;M101;;;20
D657;M102;;;90
D657;M103;;OUI;250
D657;M104;;OUI;350
D657;M401;;;150
D657;M402;;;250
D657;M403;;;150
D658;M000;;OUI;0
D658;M001;Type_privé;OUI;900
D658;M002;Type_privé;OUI;900
D658;M003;Type_privé;OUI;900
D658;M101;;;50
D658;M102;;;50
D658;M401;;;500
D658;M402;;;200
D666;M000;;OUI;0
D666;M001;;OUI;200
D666;M002;;OUI;200
D666;M101;;;25
D666;M102;;;25
D666;M103;;;15
D666;M104;;;20
D666;M301;;OUI;90
D666;M303;;OUI;60
D666;M304;;OUI;60
D666;M306;;OUI;120
D666;M321;;OUI;120
D666;M401;;OUI;200
D666;M402;;OUI;400
D666;M403;;OUI;200
D667;M000;;;0
D667;M001;Type_privé;OUI;1500
D667;M002;Type_privé;OUI;1500
D667;M003;Type_privé;OUI;500
D667;M004;Type_privé;OUI;500
D667;M005;Type_privé;OUI;200
D667;M101;;;30
D667;M102;;;30
D667;M301;;;200
D667;M302;;;200
D667;M303;;;500
D669;M000;;;0
D669;M001;Palplanche;OUI;2900
D669;M002;Palplanche;OUI;2900
D669;M003;Palplanche;OUI;2900
D669;M004;Palplanche;OUI;2900
D669;M101;;;100
D669;M102;;;100
D669;M103;;;100
D669;M104;;;100
D669;M301;;OUI;200
D669;M302;;OUI;200
D669;M303;;OUI;200
D669;M304;;OUI;200
D669;M305;;OUI;200
D672;M000;;;0
D672;M001;Béton;OUI;150
D672;M002;Béton;OUI;150
D672;M003;Béton;OUI;150
D672;M004;Béton;OUI;150
D672;M005;Béton;OUI;150
D672;M006;Béton;OUI;150
D672;M101;;;30
D672;M102;;;20
D672;M301;;;100
D672;M302;;;50
D672;M303;;;15
D673;M000;;;0
D673;M001;Type_privé;OUI;850
D673;M002;Type_privé;OUI;850
D673;M101;;;20
D673;M102;;;20
D673;M301;;;150
D673;M302;;;150
D673;M303;;;150
D675;M000;;;0
