CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;COUT
AQ07;D001;0
AQ07;D002;0
AQ07;D003;0
AQ07;D004;0
AQ07;D005;0
AQ07;D006;0
AQ07;D007;0
AQ07;D008;0
AQ07;D009;0
AQ07;D010;0
AQ07;D011;0
AQ07;D012;0
AQ07;D013;0
AQ07;D014;0
AQ07;D015;0
AQ07;D016;0
AQ07;D017;0
AQ07;D018;0
AQ07;D019;0
AQ07;D020;0
AQ07;D021;0
AQ07;D022;0
AQ07;D026;0
AQ07;D029;0
AQ07;D030;0
AQ07;D031;0
AQ07;D032;0
AQ07;D033;0
AQ07;D034;0
AQ07;D035;0
AQ07;D037;0
AQ07;D038;0
AQ07;D040;0
AQ07;D041;0
AQ07;D044;0
AQ07;D046;0
AQ07;D049;0
AQ07;D051;0
AQ07;D052;0
AQ07;D053;0
AQ07;D054;0
AQ07;D055;0
AQ07;D056;0
AQ07;D058;0
AQ07;D059;0
AQ07;D061;0
AQ07;D062;0
AQ07;D063;0
AQ07;D065;0
AQ07;D066;0
AQ07;D067;0
AQ07;D068;0
AQ07;D074;0
AQ07;D077;0
AQ07;D087;0
AQ07;D094;0
AQ07;D100;0
AQ07;D102;0
AQ07;D104;0
AQ07;D105;0
AQ07;D106;0
AQ07;D107;0
AQ07;D108;0
AQ07;D109;0
AQ07;D110;0
AQ07;D111;0
AQ07;D112;0
AQ07;D114;0
AQ07;D115;0
AQ07;D116;0
AQ07;D119;0
AQ07;D120;0
AQ07;D125;0
AQ07;D126;0
AQ07;D128;0
AQ07;D143;0
AQ07;D151;0
AQ07;D157;0
AQ07;D200;0
AQ07;D201;0
AQ07;D202;0
AQ07;D204;0
AQ07;D205;0
AQ07;D209;0
AQ07;D210;0
AQ07;D212;0
AQ07;D213;0
AQ07;D214;0
AQ07;D216;0
AQ07;D217;0
AQ07;D218;0
AQ07;D220;0
AQ07;D222;0
AQ07;D223;0
AQ07;D225;0
AQ07;D226;0
AQ07;D228;0
AQ07;D270;0
AQ07;D271;0
AQ07;D272;0
AQ07;D279;0
AQ07;D281;0
AQ07;D283;0
AQ07;D300;0
AQ07;D302;0
AQ07;D303;0
AQ07;D304;0
AQ07;D305;0
AQ07;D306;0
AQ07;D309;0
AQ07;D310;0
AQ07;D314;0
AQ07;D316;0
AQ07;D402;0
AQ07;D404;0
AQ07;D405;0
AQ07;D410;0
AQ07;D411;0
AQ07;D412;0
AQ07;D416;0
AQ07;D418;0
AQ07;D419;0
AQ07;D424;0
AQ07;D426;0
AQ07;D435;0
AQ07;D439;0
AQ07;D440;0
AQ07;D441;0
AQ07;D442;0
AQ07;D445;0
AQ07;D456;0
AQ07;D457;0
AQ07;D460;0
AQ07;D462;0
AQ07;D464;0
AQ07;D472;0
AQ07;D476;0
AQ07;D477;0
AQ07;D490;0
AQ07;D501;0
AQ07;D502;0
AQ07;D503;0
AQ07;D504;0
AQ07;D507;0
AQ07;D508;0
AQ07;D509;0
AQ07;D510;0
AQ07;D511;0
AQ07;D512;0
AQ07;D513;0
AQ07;D514;0
AQ07;D515;0
AQ07;D517;0
AQ07;D518;0
AQ07;D519;0
AQ07;D520;0
AQ07;D522;0
AQ07;D524;0
AQ07;D525;0
AQ07;D600;0
AQ07;D601;0
AQ07;D602;0
AQ07;D603;0
AQ07;D604;0
AQ07;D605;0
AQ07;D606;0
AQ07;D608;0
AQ07;D609;0
AQ07;D610;0
AQ07;D611;0
AQ07;D612;0
AQ07;D613;0
AQ07;D614;0
AQ07;D615;0
AQ07;D616;0
AQ07;D617;0
AQ07;D618;0
AQ07;D620;0
AQ07;D621;0
AQ07;D622;0
AQ07;D623;0
AQ07;D624;0
AQ07;D625;0
AQ07;D626;0
AQ07;D627;0
AQ07;D628;0
AQ07;D629;0
AQ07;D630;0
AQ07;D631;0
AQ07;D632;0
AQ07;D633;0
AQ07;D634;0
AQ07;D635;0
AQ07;D636;0
AQ07;D637;0
AQ07;D638;0
AQ07;D639;0
AQ07;D640;0
AQ07;D641;0
AQ07;D642;0
AQ07;D643;0
AQ07;D644;0
AQ07;D645;0
AQ07;D646;0
AQ07;D647;0
AQ07;D648;0
AQ07;D649;0
AQ07;D650;0
AQ07;D651;0
AQ07;D652;0
AQ07;D653;0
AQ07;D654;0
AQ07;D655;0
AQ07;D656;0
AQ07;D657;0
AQ07;D658;0
AQ07;D659;0
AQ07;D660;0
AQ07;D661;0
AQ07;D662;0
AQ07;D663;0
AQ07;D664;0
AQ07;D665;0
AQ07;D666;0
AQ07;D667;0
AQ07;D668;0
AQ07;D669;0
AQ07;D670;0
AQ07;D671;0
AQ07;D672;0
AQ07;D673;0
AQ07;D674;0
AQ07;D675;0
AQ07;D676;0
AQ07;D677;0
AQ07;D678;0
AQ07;D679;0
AQ07;D680;0
AQ07;D681;0
AQ07;D682;0
AQ07;D683;0
AQ07;D685;0
AQ07;D700;0
AQ07;D701;0
AQ07;D702;0
AQ07;D703;0
AQ07;D704;0
AQ07;D705;0
AQ07;D706;0
AQ07;D707;0
AQ07;D708;0
AQ07;D709;0
AQ07;D710;0
AQ07;D711;0
AQ07;D712;0
AQ07;D713;0
AQ07;D714;0
AQ07;D715;0
AQ07;D716;0
AQ07;D717;0
AQ07;D718;0
AQ07;D719;0
AQ07;D720;0
AQ07;D721;0
AQ07;D722;0
AQ07;D723;0
AQ07;D724;0
AQ07;D725;0
AQ07;D727;0
AQ07;D728;0
AQ07;D729;0
AQ07;D730;0
AQ07;D731;0
AQ07;D732;0
AQ07;D733;0
AQ07;D734;0
AQ07;D735;0
AQ07;D736;0
AQ07;D737;0
AQ07;D738;0
AQ07;D739;0
AQ07;D740;0
AQ07;D741;0
AQ07;D742;0
AQ07;DAMR;0
AQ07;DSAIP;0
AQ07;D619;0
AQ07;AQ07;0
AQ07;D084;0
D001;D001;0
D001;D151;0
D001;D228;0
D001;D518;0
D001;D723;0
D001;D724;0
D001;D731;0
D001;D741;0
D001;D619;0
D001;AQ07;0
D001;D084;0
D001;D013;3.06
D001;D063;3.06
D001;D012;3.43
D001;D094;3.43
D001;D016;3.7
D001;D030;3.7
D001;D032;3.7
D001;D033;3.7
D001;D065;3.7
D001;D106;3.7
D001;D202;3.7
D001;D214;3.7
D001;D464;3.7
D001;D512;3.7
D001;D010;4.24
D001;D038;4.24
D001;D210;4.24
D001;D225;4.24
D001;D416;4.24
D001;D011;4.52
D001;D031;4.52
D001;D102;4.52
D001;D212;4.52
D001;D026;4.52
D001;D015;5.2
D001;D041;5.2
D001;D062;5.2
D001;D100;5.2
D001;D107;5.2
D001;D411;5.2
D001;D017;5.89
D001;D034;5.89
D001;D049;5.89
D001;D087;5.89
D001;D110;5.89
D001;D111;5.89
D001;D410;5.89
D001;D445;5.89
D001;D508;5.89
D001;D510;5.89
D001;D002;6.7
D001;D035;6.7
D001;D205;6.7
D001;D003;6.9
D001;D046;6.9
D001;D068;6.9
D001;D109;6.9
D001;D120;6.9
D001;D125;6.9
D001;D220;6.9
D001;D270;6.9
D001;D310;6.9
D001;D513;6.9
D001;D018;7.06
D001;D022;7.06
D001;D105;7.06
D001;D200;7.06
D001;D201;7.06
D001;D213;7.06
D001;D424;7.06
D001;D226;7.06
D001;D008;7.98
D001;D040;7.98
D001;D052;7.98
D001;D056;7.98
D001;D058;7.98
D001;D074;7.98
D001;D077;7.98
D001;D108;7.98
D001;D112;7.98
D001;D114;7.98
D001;D126;7.98
D001;D204;7.98
D001;D218;7.98
D001;D302;7.98
D001;D503;7.98
D001;D504;7.98
D001;D514;7.98
D001;D524;7.98
D001;D005;8.9
D001;D009;8.9
D001;D020;8.9
D001;D044;8.9
D001;D059;8.9
D001;D066;8.9
D001;D104;8.9
D001;D119;8.9
D001;D128;8.9
D001;D303;8.9
D001;D309;8.9
D001;D404;8.9
D001;D419;8.9
D001;D472;8.9
D001;D501;8.9
D001;D507;8.9
D001;D509;8.9
D001;D511;8.9
D001;D522;8.9
D001;D632;8.9
D001;DSAIP;8.9
D001;D014;9.24
D001;D019;9.24
D001;D054;9.24
D001;D116;9.24
D001;D143;9.24
D001;D209;9.24
D001;D216;9.24
D001;D222;9.24
D001;D460;9.24
D001;D477;9.24
D001;D490;9.24
D001;D502;9.24
D001;D515;9.24
D001;D519;9.24
D001;D614;9.24
D001;D625;9.24
D001;D634;9.24
D001;D635;9.24
D001;D004;10.04
D001;D006;10.04
D001;D021;10.04
D001;D029;10.04
D001;D037;10.04
D001;D051;10.04
D001;D055;10.04
D001;D115;10.04
D001;D217;10.04
D001;D223;10.04
D001;D271;10.04
D001;D272;10.04
D001;D402;10.04
D001;D456;10.04
D001;D476;10.04
D001;D525;10.04
D001;D603;10.04
D001;D631;10.04
D001;D633;10.04
D001;D636;10.04
D001;D667;10.04
D001;D007;10.98
D001;D053;10.98
D001;D067;10.98
D001;D418;10.98
D001;D440;10.98
D001;D462;10.98
D001;D517;10.98
D001;D605;10.98
D001;D606;10.98
D001;D611;10.98
D001;D613;10.98
D001;D623;10.98
D001;D668;10.98
D001;D061;11.31
D001;D305;11.31
D001;D316;11.31
D001;D405;11.31
D001;D412;11.31
D001;D442;11.31
D001;D520;11.31
D001;D601;11.31
D001;D604;11.31
D001;D610;11.31
D001;D616;11.31
D001;D618;11.31
D001;D654;11.31
D001;D658;11.31
D001;D659;11.31
D001;D664;11.31
D001;D666;11.31
D001;D669;11.31
D001;D674;11.31
D001;D718;11.31
D001;D157;11.63
D001;D283;11.63
D001;D426;11.63
D001;D441;11.63
D001;D602;11.63
D001;D608;11.63
D001;D609;11.63
D001;D612;11.63
D001;D615;11.63
D001;D620;11.63
D001;D622;11.63
D001;D624;11.63
D001;D626;11.63
D001;D640;11.63
D001;D652;11.63
D001;D657;11.63
D001;D662;11.63
D001;D672;11.63
D001;D673;11.63
D001;D679;11.63
D001;D681;11.63
D001;D733;11.63
D001;DAMR;11.63
D001;D435;12.19
D001;D439;12.19
D001;D600;12.19
D001;D621;12.19
D001;D630;12.19
D001;D639;12.19
D001;D649;12.19
D001;D650;12.19
D001;D651;12.19
D001;D655;12.19
D001;D663;12.19
D001;D665;12.19
D001;D671;12.19
D001;D675;12.19
D001;D676;12.19
D001;D680;12.19
D001;D683;12.19
D001;D737;12.19
D001;D279;12.57
D001;D457;12.57
D001;D628;12.57
D001;D637;12.57
D001;D638;12.57
D001;D653;12.57
D001;D660;12.57
D001;D678;12.57
D001;D685;12.57
D001;D704;12.57
D001;D729;12.57
D001;D732;12.57
D001;D300;12.78
D001;D304;12.78
D001;D306;12.78
D001;D314;12.78
D001;D627;12.78
D001;D656;12.78
D001;D661;12.78
D001;D677;12.78
D001;D707;12.78
D001;D714;12.78
D001;D281;13.4
D001;D642;13.4
D001;D646;13.4
D001;D682;13.4
D001;D708;13.4
D001;D644;13.91
D001;D736;13.91
D001;D641;14.29
D001;D643;14.29
D001;D645;14.29
D001;D701;14.29
D001;D702;14.29
D001;D705;14.29
D001;D706;14.29
D001;D735;14.29
D001;D740;14.29
D001;D629;14.45
D001;D719;14.45
D001;D722;14.45
D001;D617;14.73
D001;D647;14.73
D001;D648;14.73
D001;D700;14.73
D001;D711;14.73
D001;D716;14.73
D001;D725;14.73
D001;D727;14.73
D001;D730;14.73
D001;D738;14.73
D001;D670;15.73
D001;D703;15.73
D001;D712;15.73
D001;D734;15.73
D001;D710;17.7
D001;D715;17.7
D001;D720;17.7
D001;D728;17.7
D001;D739;17.7
D001;D709;19.06
D001;D717;19.06
D001;D721;19.06
D001;D742;19.06
D001;D713;21.07
D002;D002;0
D002;D151;0
D002;D228;0
D002;D518;0
D002;D723;0
D002;D724;0
D002;D731;0
D002;D741;0
D002;D619;0
D002;AQ07;0
D002;D084;0
D002;D015;3.06
D002;D022;3.06
D002;D513;3.43
D002;D026;3.43
D002;D011;3.7
D002;D016;3.7
D002;D018;3.7
D002;D035;3.7
D002;D062;3.7
D002;D508;3.7
D002;D009;4.24
D002;D010;4.24
D002;D030;4.24
D002;D033;4.24
D002;D052;4.24
D002;D056;4.24
D002;D503;4.24
D002;D012;4.52
D002;D031;4.52
D002;D034;4.52
D002;D040;4.52
D002;D044;4.52
D002;D058;4.52
D002;D065;4.52
D002;D077;4.52
D002;D087;4.52
D002;D094;4.52
D002;D522;4.52
D002;D003;5.2
D002;D008;5.2
D002;D038;5.2
D002;D046;5.2
D002;D059;5.2
D002;D214;5.2
D002;D501;5.2
D002;D502;5.2
D002;D504;5.2
D002;D510;5.2
D002;D514;5.2
D002;D635;5.2
D002;D005;5.89
D002;D013;5.89
D002;D014;5.89
D002;D017;5.89
D002;D020;5.89
D002;D041;5.89
D002;D054;5.89
D002;D063;5.89
D002;D225;5.89
D002;D512;5.89
D002;D519;5.89
D002;D614;5.89
D002;D625;5.89
D002;D632;5.89
D002;D001;6.7
D002;D019;6.7
D002;D029;6.7
D002;D032;6.7
D002;D049;6.7
D002;D055;6.7
D002;D074;6.7
D002;D210;6.7
D002;D525;6.7
D002;D051;6.9
D002;D107;6.9
D002;D110;6.9
D002;D202;6.9
D002;D212;6.9
D002;D270;6.9
D002;D310;6.9
D002;D404;6.9
D002;D515;6.9
D002;D603;6.9
D002;D004;7.06
D002;D021;7.06
D002;D037;7.06
D002;D100;7.06
D002;D106;7.06
D002;D419;7.06
D002;D605;7.06
D002;D634;7.06
D002;D006;7.98
D002;D007;7.98
D002;D053;7.98
D002;D067;7.98
D002;D068;7.98
D002;D102;7.98
D002;D105;7.98
D002;D111;7.98
D002;D120;7.98
D002;D125;7.98
D002;D205;7.98
D002;D410;7.98
D002;D411;7.98
D002;D416;7.98
D002;D464;7.98
D002;D490;7.98
D002;D511;7.98
D002;D517;7.98
D002;D606;7.98
D002;D611;7.98
D002;D613;7.98
D002;D623;7.98
D002;D631;7.98
D002;D633;7.98
D002;D636;7.98
D002;D664;7.98
D002;D667;7.98
D002;D668;7.98
D002;D061;8.9
D002;D066;8.9
D002;D109;8.9
D002;D114;8.9
D002;D119;8.9
D002;D126;8.9
D002;D128;8.9
D002;D200;8.9
D002;D220;8.9
D002;D271;8.9
D002;D272;8.9
D002;D316;8.9
D002;D402;8.9
D002;D424;8.9
D002;D445;8.9
D002;D509;8.9
D002;D520;8.9
D002;D524;8.9
D002;D601;8.9
D002;D602;8.9
D002;D604;8.9
D002;D610;8.9
D002;D616;8.9
D002;D659;8.9
D002;D666;8.9
D002;D674;8.9
D002;D679;8.9
D002;D226;8.9
D002;D112;9.24
D002;D116;9.24
D002;D143;9.24
D002;D201;9.24
D002;D204;9.24
D002;D213;9.24
D002;D218;9.24
D002;D472;9.24
D002;D507;9.24
D002;D608;9.24
D002;D609;9.24
D002;D612;9.24
D002;D615;9.24
D002;D618;9.24
D002;D620;9.24
D002;D622;9.24
D002;D624;9.24
D002;D626;9.24
D002;D662;9.24
D002;D681;9.24
D002;D718;9.24
D002;D104;10.04
D002;D108;10.04
D002;D115;10.04
D002;D209;10.04
D002;D222;10.04
D002;D283;10.04
D002;D456;10.04
D002;D477;10.04
D002;D621;10.04
D002;D639;10.04
D002;D640;10.04
D002;D650;10.04
D002;D657;10.04
D002;D663;10.04
D002;D669;10.04
D002;D676;10.04
D002;D678;10.04
D002;D683;10.04
D002;D733;10.04
D002;D157;10.98
D002;D216;10.98
D002;D217;10.98
D002;D223;10.98
D002;D279;10.98
D002;D302;10.98
D002;D305;10.98
D002;D405;10.98
D002;D412;10.98
D002;D426;10.98
D002;D440;10.98
D002;D442;10.98
D002;D460;10.98
D002;D476;10.98
D002;D627;10.98
D002;D628;10.98
D002;D637;10.98
D002;D638;10.98
D002;D652;10.98
D002;D654;10.98
D002;D655;10.98
D002;D658;10.98
D002;D660;10.98
D002;D671;10.98
D002;D673;10.98
D002;D680;10.98
D002;D685;10.98
D002;D729;10.98
D002;D737;10.98
D002;D303;11.31
D002;D309;11.31
D002;D314;11.31
D002;D418;11.31
D002;D435;11.31
D002;D441;11.31
D002;D462;11.31
D002;D600;11.31
D002;D630;11.31
D002;D651;11.31
D002;D661;11.31
D002;D665;11.31
D002;D672;11.31
D002;D675;11.31
D002;D677;11.31
D002;D704;11.31
D002;D705;11.31
D002;D732;11.31
D002;DSAIP;11.31
D002;D439;11.63
D002;D644;11.63
D002;D646;11.63
D002;D649;11.63
D002;D653;11.63
D002;D682;11.63
D002;D707;11.63
D002;D714;11.63
D002;DAMR;11.63
D002;D281;12.19
D002;D457;12.19
D002;D642;12.19
D002;D656;12.19
D002;D708;12.19
D002;D300;12.57
D002;D304;12.57
D002;D306;12.57
D002;D629;12.57
D002;D641;12.57
D002;D645;12.57
D002;D736;12.57
D002;D647;12.78
D002;D701;12.78
D002;D702;12.78
D002;D706;12.78
D002;D735;12.78
D002;D740;12.78
D002;D643;13.4
D002;D719;13.4
D002;D722;13.4
D002;D648;13.91
D002;D700;13.91
D002;D716;13.91
D002;D725;13.91
D002;D738;13.91
D002;D617;14.29
D002;D711;14.29
D002;D727;14.29
D002;D730;14.29
D002;D670;14.45
D002;D703;14.45
D002;D712;14.73
D002;D734;14.73
D002;D709;15.73
D002;D710;15.73
D002;D715;15.73
D002;D717;15.73
D002;D720;15.73
D002;D728;15.73
D002;D739;15.73
D002;D713;17.7
D002;D721;17.7
D002;D742;17.7
D003;D003;0
D003;D046;0
D003;D151;0
D003;D228;0
D003;D518;0
D003;D723;0
D003;D724;0
D003;D731;0
D003;D741;0
D003;D619;0
D003;AQ07;0
D003;D084;0
D003;D017;3.06
D003;D034;3.06
D003;D087;3.06
D003;D270;3.06
D003;D310;3.06
D003;D008;3.43
D003;D035;3.43
D003;D058;3.43
D003;D062;3.43
D003;D077;3.43
D003;D010;3.7
D003;D018;3.7
D003;D040;3.7
D003;D110;3.7
D003;D225;3.7
D003;D011;4.24
D003;D015;4.24
D003;D020;4.24
D003;D107;4.24
D003;D120;4.24
D003;D125;4.24
D003;D404;4.24
D003;D005;4.52
D003;D022;4.52
D003;D030;4.52
D003;D056;4.52
D003;D059;4.52
D003;D065;4.52
D003;D100;4.52
D003;D105;4.52
D003;D111;4.52
D003;D114;4.52
D003;D210;4.52
D003;D212;4.52
D003;D214;4.52
D003;D410;4.52
D003;D419;4.52
D003;D503;4.52
D003;D632;4.52
D003;D002;5.2
D003;D014;5.2
D003;D016;5.2
D003;D037;5.2
D003;D051;5.2
D003;D119;5.2
D003;D128;5.2
D003;D205;5.2
D003;D411;5.2
D003;D490;5.2
D003;D631;5.2
D003;D634;5.2
D003;D636;5.2
D003;D667;5.2
D003;D026;5.2
D003;D009;5.89
D003;D063;5.89
D003;D109;5.89
D003;D112;5.89
D003;D202;5.89
D003;D416;5.89
D003;D424;5.89
D003;D502;5.89
D003;D614;5.89
D003;D635;5.89
D003;D007;6.7
D003;D012;6.7
D003;D029;6.7
D003;D033;6.7
D003;D044;6.7
D003;D052;6.7
D003;D055;6.7
D003;D094;6.7
D003;D102;6.7
D003;D126;6.7
D003;D143;6.7
D003;D513;6.7
D003;D522;6.7
D003;D633;6.7
D003;D001;6.9
D003;D004;6.9
D003;D006;6.9
D003;D054;6.9
D003;D106;6.9
D003;D116;6.9
D003;D200;6.9
D003;D220;6.9
D003;D271;6.9
D003;D272;6.9
D003;D402;6.9
D003;D445;6.9
D003;D464;6.9
D003;D603;6.9
D003;D605;6.9
D003;D613;6.9
D003;D668;6.9
D003;D226;6.9
D003;D013;7.06
D003;D031;7.06
D003;D038;7.06
D003;D067;7.06
D003;D104;7.06
D003;D115;7.06
D003;D201;7.06
D003;D213;7.06
D003;D456;7.06
D003;D472;7.06
D003;D508;7.06
D003;D519;7.06
D003;D625;7.06
D003;D019;7.98
D003;D021;7.98
D003;D032;7.98
D003;D041;7.98
D003;D108;7.98
D003;D204;7.98
D003;D209;7.98
D003;D218;7.98
D003;D222;7.98
D003;D476;7.98
D003;D477;7.98
D003;D501;7.98
D003;D504;7.98
D003;D510;7.98
D003;D512;7.98
D003;D514;7.98
D003;D525;7.98
D003;D611;7.98
D003;D618;7.98
D003;D659;7.98
D003;D664;7.98
D003;D666;7.98
D003;D669;7.98
D003;D674;7.98
D003;D049;8.9
D003;D053;8.9
D003;D061;8.9
D003;D074;8.9
D003;D216;8.9
D003;D217;8.9
D003;D223;8.9
D003;D283;8.9
D003;D316;8.9
D003;D405;8.9
D003;D412;8.9
D003;D440;8.9
D003;D442;8.9
D003;D460;8.9
D003;D517;8.9
D003;D601;8.9
D003;D602;8.9
D003;D604;8.9
D003;D606;8.9
D003;D610;8.9
D003;D616;8.9
D003;D620;8.9
D003;D622;8.9
D003;D623;8.9
D003;D640;8.9
D003;D654;8.9
D003;D657;8.9
D003;D658;8.9
D003;D662;8.9
D003;D663;8.9
D003;D681;8.9
D003;D068;9.24
D003;D157;9.24
D003;D302;9.24
D003;D305;9.24
D003;D418;9.24
D003;D426;9.24
D003;D441;9.24
D003;D462;9.24
D003;D511;9.24
D003;D515;9.24
D003;D608;9.24
D003;D609;9.24
D003;D612;9.24
D003;D615;9.24
D003;D624;9.24
D003;D626;9.24
D003;D651;9.24
D003;D652;9.24
D003;D655;9.24
D003;D665;9.24
D003;D671;9.24
D003;D672;9.24
D003;D673;9.24
D003;D675;9.24
D003;D680;9.24
D003;DAMR;9.24
D003;D066;10.04
D003;D279;10.04
D003;D314;10.04
D003;D435;10.04
D003;D509;10.04
D003;D520;10.04
D003;D600;10.04
D003;D621;10.04
D003;D630;10.04
D003;D637;10.04
D003;D638;10.04
D003;D639;10.04
D003;D649;10.04
D003;D650;10.04
D003;D660;10.04
D003;D676;10.04
D003;D679;10.04
D003;D683;10.04
D003;D733;10.04
D003;D303;10.98
D003;D309;10.98
D003;D439;10.98
D003;D507;10.98
D003;D524;10.98
D003;D627;10.98
D003;D628;10.98
D003;D653;10.98
D003;D656;10.98
D003;D661;10.98
D003;D682;10.98
D003;D685;10.98
D003;D718;10.98
D003;DSAIP;10.98
D003;D457;11.31
D003;D646;11.31
D003;D677;11.31
D003;D678;11.31
D003;D729;11.31
D003;D281;11.63
D003;D300;11.63
D003;D304;11.63
D003;D306;11.63
D003;D642;11.63
D003;D644;11.63
D003;D704;11.63
D003;D714;11.63
D003;D732;11.63
D003;D641;12.19
D003;D645;12.19
D003;D707;12.19
D003;D737;12.19
D003;D643;12.57
D003;D647;12.57
D003;D708;12.57
D003;D705;12.78
D003;D736;12.78
D003;D740;12.78
D003;D629;13.4
D003;D648;13.4
D003;D701;13.4
D003;D702;13.4
D003;D706;13.4
D003;D617;13.91
D003;D716;13.91
D003;D719;13.91
D003;D722;13.91
D003;D670;14.29
D003;D700;14.29
D003;D711;14.29
D003;D725;14.29
D003;D703;14.73
D003;D712;14.73
D003;D727;14.73
D003;D728;14.73
D003;D735;14.73
D003;D738;14.73
D003;D710;15.73
D003;D715;15.73
D003;D720;15.73
D003;D709;17.7
D003;D717;17.7
D003;D721;17.7
D003;D730;17.7
D003;D734;17.7
D003;D742;17.7
D003;D713;19.06
D003;D739;19.06
D004;D004;0
D004;D151;0
D004;D228;0
D004;D518;0
D004;D723;0
D004;D724;0
D004;D731;0
D004;D741;0
D004;D619;0
D004;AQ07;0
D004;D084;0
D004;D007;3.06
D004;D021;3.06
D004;D029;3.06
D004;D055;3.06
D004;D067;3.06
D004;D603;3.06
D004;D605;3.06
D004;D611;3.06
D004;D613;3.06
D004;D664;3.06
D004;D006;3.43
D004;D019;3.43
D004;D051;3.43
D004;D606;3.43
D004;D614;3.43
D004;D616;3.43
