CODE_PRODUIT_STOCKAGE;CODE_SITE;MASSE_VOL;TYPE;PERIODE;QTE_PREV;QTE_PREV_EQ_BLE
CO0100;D001;1.0;CONV;SUM;282.7575;282.7575
CO0100;D002;1.0;CONV;SUM;138.1426;138.1426
CO0100;D003;1.0;CONV;SUM;1147.314;1147.314
CO0100;D006;1.0;CONV;SUM;554.1457;554.1457
CO0100;D007;1.0;CONV;SUM;1306.4075;1306.4075
CO0100;D008;1.0;CONV;SUM;3364.062;3364.062
CO0100;D009;1.0;CONV;SUM;2558.122;2558.122
CO0100;D010;1.0;CONV;SUM;448.4;448.4
CO0100;D011;1.0;CONV;SUM;616.55;616.55
CO0100;D012;1.0;CONV;SUM;1001.6902;1001.6902
CO0100;D013;1.0;CONV;SUM;1479.72;1479.72
CO0100;D014;1.0;CONV;SUM;2808.5357;2808.5357
CO0100;D015;1.0;CONV;SUM;622.863;622.863
CO0100;D016;1.0;CONV;SUM;1281.067;1281.067
CO0100;D017;1.0;CONV;SUM;683.0607;683.0607
CO0100;D018;1.0;CONV;SUM;1055.156;1055.156
CO0100;D019;1.0;CONV;SUM;3272.553;3272.553
CO0100;D020;1.0;CONV;SUM;1196.107;1196.107
CO0100;D021;1.0;CONV;SUM;1497.892;1497.892
CO0100;D026;1.0;CONV;SUM;3721.2067;3721.2067
CO0100;D031;1.0;CONV;SUM;1491.8858;1491.8858
CO0100;D032;1.0;CONV;SUM;564.1579999999999;564.158
CO0100;D033;1.0;CONV;SUM;353.646;353.646
CO0100;D034;1.0;CONV;SUM;286.15;286.15
CO0100;D037;1.0;CONV;SUM;791.1310000000001;791.131
CO0100;D038;1.0;CONV;SUM;569.35;569.35
CO0100;D040;1.0;CONV;SUM;647.879;647.879
CO0100;D041;1.0;CONV;SUM;895.5905;895.5905
CO0100;D044;1.0;CONV;SUM;1157.2259999999999;1157.226
CO0100;D046;1.0;CONV;SUM;274.2379;274.2379
CO0100;D049;1.0;CONV;SUM;2076.505;2076.505
CO0100;D051;1.0;CONV;SUM;337.7042;337.7042
CO0100;D052;1.0;CONV;SUM;2208.665;2208.665
CO0100;D053;1.0;CONV;SUM;2510.45;2510.45
CO0100;D054;1.0;CONV;SUM;595.959;595.959
CO0100;D056;1.0;CONV;SUM;1805.046;1805.046
CO0100;D059;1.0;CONV;SUM;765.171;765.171
CO0100;D062;1.0;CONV;SUM;178.77;178.77
CO0100;D063;1.0;CONV;SUM;106.19999999999999;106.2
CO0100;D065;1.0;CONV;SUM;800.748;800.748
CO0100;D066;1.0;CONV;SUM;22.42;22.42
CO0100;D067;1.0;CONV;SUM;250.101;250.101
CO0100;D068;1.0;CONV;SUM;876.1500000000001;876.15
CO0100;D074;1.0;CONV;SUM;1362.8999999999999;1362.9
CO0100;D077;1.0;CONV;SUM;241.9;241.9
CO0100;D087;1.0;CONV;SUM;227.15;227.15
CO0100;D100;1.0;CONV;SUM;783.579;783.579
CO0100;D102;1.0;CONV;SUM;1102.828;1102.828
CO0100;D104;1.0;CONV;SUM;489.818;489.818
CO0100;D105;1.0;CONV;SUM;1446.149;1446.149
CO0100;D106;1.0;CONV;SUM;770.1270000000001;770.127
CO0100;D107;1.0;CONV;SUM;478.49;478.49
CO0100;D108;1.0;CONV;SUM;17.7;17.7
CO0100;D109;1.0;CONV;SUM;267.506;267.506
CO0100;D110;1.0;CONV;SUM;401.672;401.672
CO0100;D111;1.0;CONV;SUM;1097.518;1097.518
CO0100;D112;1.0;CONV;SUM;2080.576;2080.576
CO0100;D114;1.0;CONV;SUM;1138.936;1138.936
CO0100;D115;1.0;CONV;SUM;467.94669999999996;467.9467
CO0100;D116;1.0;CONV;SUM;1824.8169;1824.8169
CO0100;D119;1.0;CONV;SUM;240.95600000000002;240.956
CO0100;D126;1.0;CONV;SUM;455.716;455.716
CO0100;D128;1.0;CONV;SUM;937.746;937.746
CO0100;D143;1.0;CONV;SUM;1126.487;1126.487
CO0100;D153;1.0;CONV;SUM;1475.6077;1475.6077
CO0100;D157;1.0;CONV;SUM;159.3;159.3
CO0100;D200;1.0;CONV;SUM;396.834;396.834
CO0100;D201;1.0;CONV;SUM;634.604;634.604
CO0100;D202;1.0;CONV;SUM;454.47700000000003;454.477
CO0100;D204;1.0;CONV;SUM;1187.08;1187.08
CO0100;D205;1.0;CONV;SUM;995.33;995.33
CO0100;D209;1.0;CONV;SUM;593.186;593.186
CO0100;D210;1.0;CONV;SUM;994.445;994.445
CO0100;D212;1.0;CONV;SUM;450.99600000000004;450.996
CO0100;D213;1.0;CONV;SUM;809.008;809.008
CO0100;D214;1.0;CONV;SUM;1076.75;1076.75
CO0100;D216;1.0;CONV;SUM;1290.3536;1290.3536
CO0100;D217;1.0;CONV;SUM;961.8770000000001;961.877
CO0100;D218;1.0;CONV;SUM;147.5;147.5
CO0100;D220;1.0;CONV;SUM;907.833;907.833
CO0100;D222;1.0;CONV;SUM;975.86;975.86
CO0100;D223;1.0;CONV;SUM;24.072;24.072
CO0100;D226;1.0;CONV;SUM;78.47;78.47
CO0100;D228;1.0;CONV;SUM;106.2;106.2
CO0100;D271;1.0;CONV;SUM;280.781;280.781
CO0100;D272;1.0;CONV;SUM;597.4163;597.4163
CO0100;D281;1.0;CONV;SUM;422.086;422.086
CO0100;D283;1.0;CONV;SUM;643.6782;643.6782
CO0100;D286;1.0;CONV;SUM;774.552;774.552
CO0100;D287;1.0;CONV;SUM;401.377;401.377
CO0100;D300;1.0;CONV;SUM;1861.6860000000001;1861.686
CO0100;D302;1.0;CONV;SUM;648.351;648.351
CO0100;D316;1.0;CONV;SUM;175.8967;175.8967
CO0100;D402;1.0;CONV;SUM;1877.5511;1877.5511
CO0100;D404;1.0;CONV;SUM;1665.4814999999999;1665.4815
CO0100;D405;1.0;CONV;SUM;1931.247;1931.247
CO0100;D410;1.0;CONV;SUM;103.84;103.84
CO0100;D411;1.0;CONV;SUM;1943.4836;1943.4836
CO0100;D412;1.0;CONV;SUM;466.218;466.218
CO0100;D416;1.0;CONV;SUM;2261.47;2261.47
CO0100;D418;1.0;CONV;SUM;489.287;489.287
CO0100;D419;1.0;CONV;SUM;90.03399999999999;90.034
CO0100;D424;1.0;CONV;SUM;735.848;735.848
CO0100;D426;1.0;CONV;SUM;1858.382;1858.382
CO0100;D435;1.0;CONV;SUM;956.567;956.567
CO0100;D439;1.0;CONV;SUM;2076.5817;2076.5817
CO0100;D440;1.0;CONV;SUM;705.1444;705.1444
CO0100;D441;1.0;CONV;SUM;1731.7444;1731.7444
CO0100;D442;1.0;CONV;SUM;514.893;514.893
CO0100;D445;1.0;CONV;SUM;377.187;377.187
CO0100;D456;1.0;CONV;SUM;1486.5935;1486.5935
CO0100;D462;1.0;CONV;SUM;366.567;366.567
CO0100;D464;1.0;CONV;SUM;1322.839;1322.839
CO0100;D472;1.0;CONV;SUM;183.018;183.018
CO0100;D476;1.0;CONV;SUM;474.891;474.891
CO0100;D490;1.0;CONV;SUM;2149.37;2149.37
CO0100;D501;1.0;CONV;SUM;565.4559999999999;565.456
CO0100;D503;1.0;CONV;SUM;4110.53;4110.53
CO0100;D507;1.0;CONV;SUM;719.8;719.8
CO0100;D508;1.0;CONV;SUM;6082.3867;6082.3867
CO0100;D509;1.0;CONV;SUM;247.8;247.8
CO0100;D511;1.0;CONV;SUM;693.25;693.25
CO0100;D512;1.0;CONV;SUM;1664.449;1664.449
CO0100;D513;1.0;CONV;SUM;1282.4180999999999;1282.4181
CO0100;D514;1.0;CONV;SUM;2022.0539;2022.0539
CO0100;D517;1.0;CONV;SUM;2165.9903;2165.9903
CO0100;D519;1.0;CONV;SUM;2581.25;2581.25
CO0100;D520;1.0;CONV;SUM;1940.2032;1940.2032
CO0100;D524;1.0;CONV;SUM;531.0;531.0
CO0100;D525;1.0;CONV;SUM;2550.4519999999998;2550.452
CO0100;D601;1.0;CONV;SUM;284.852;284.852
CO0100;D602;1.0;CONV;SUM;2367.2393;2367.2393
CO0100;D603;1.0;CONV;SUM;2181.7315;2181.7315
CO0100;D605;1.0;CONV;SUM;2417.2418;2417.2418
CO0100;D606;1.0;CONV;SUM;932.3947000000001;932.3947
CO0100;D608;1.0;CONV;SUM;866.2085000000001;866.2085
CO0100;D609;1.0;CONV;SUM;2922.978;2922.978
CO0100;D610;1.0;CONV;SUM;3551.623;3551.623
CO0100;D611;1.0;CONV;SUM;848.597;848.597
CO0100;D612;1.0;CONV;SUM;3331.612;3331.612
CO0100;D613;1.0;CONV;SUM;2752.409;2752.409
CO0100;D614;1.0;CONV;SUM;1687.6418999999999;1687.6419
CO0100;D615;1.0;CONV;SUM;1478.6757;1478.6757
CO0100;D616;1.0;CONV;SUM;1530.9143;1530.9143
CO0100;D617;1.0;CONV;SUM;3183.7226;3183.7226
CO0100;D618;1.0;CONV;SUM;404.03200000000004;404.032
CO0100;D620;1.0;CONV;SUM;2041.5239;2041.5239
CO0100;D621;1.0;CONV;SUM;1701.6603;1701.6603
CO0100;D622;1.0;CONV;SUM;3528.082;3528.082
CO0100;D624;1.0;CONV;SUM;924.5831000000001;924.5831
CO0100;D625;1.0;CONV;SUM;2906.045;2906.045
CO0100;D626;1.0;CONV;SUM;1517.421;1517.421
CO0100;D627;1.0;CONV;SUM;1470.3095;1470.3095
CO0100;D628;1.0;CONV;SUM;2209.3907;2209.3907
CO0100;D629;1.0;CONV;SUM;2621.2284;2621.2284
CO0100;D631;1.0;CONV;SUM;3481.0354;3481.0354
CO0100;D632;1.0;CONV;SUM;3981.5206;3981.5206
CO0100;D633;1.0;CONV;SUM;1912.4614;1912.4614
CO0100;D635;1.0;CONV;SUM;2204.594;2204.594
CO0100;D637;1.0;CONV;SUM;766.5457;766.5457
CO0100;D638;1.0;CONV;SUM;2375.2397;2375.2397
CO0100;D639;1.0;CONV;SUM;1512.583;1512.583
CO0100;D641;1.0;CONV;SUM;1333.5003;1333.5003
CO0100;D642;1.0;CONV;SUM;2101.8396;2101.8396
CO0100;D643;1.0;CONV;SUM;3636.9429;3636.9429
CO0100;D644;1.0;CONV;SUM;2900.0860000000002;2900.086
CO0100;D645;1.0;CONV;SUM;1368.21;1368.21
CO0100;D646;1.0;CONV;SUM;507.577;507.577
CO0100;D647;1.0;CONV;SUM;1405.498;1405.498
CO0100;D648;1.0;CONV;SUM;285.029;285.029
CO0100;D649;1.0;CONV;SUM;872.4566;872.4566
CO0100;D651;1.0;CONV;SUM;978.3321;978.3321
CO0100;D652;1.0;CONV;SUM;1933.725;1933.725
CO0100;D653;1.0;CONV;SUM;869.4417;869.4417
CO0100;D654;1.0;CONV;SUM;1630.9665;1630.9665
CO0100;D656;1.0;CONV;SUM;1016.4461;1016.4461
CO0100;D657;1.0;CONV;SUM;2042.1316;2042.1316
CO0100;D658;1.0;CONV;SUM;711.6579999999999;711.658
CO0100;D659;1.0;CONV;SUM;2762.9405;2762.9405
CO0100;D660;1.0;CONV;SUM;3388.8656;3388.8656
CO0100;D661;1.0;CONV;SUM;2298.0323;2298.0323
CO0100;D662;1.0;CONV;SUM;2146.715;2146.715
CO0100;D663;1.0;CONV;SUM;88.5;88.5
CO0100;D664;1.0;CONV;SUM;423.3073;423.3073
CO0100;D665;1.0;CONV;SUM;118.1121;118.1121
CO0100;D666;1.0;CONV;SUM;2604.1892;2604.1892
CO0100;D667;1.0;CONV;SUM;2414.0322;2414.0322
CO0100;D669;1.0;CONV;SUM;4487.4338;4487.4338
CO0100;D670;1.0;CONV;SUM;1879.386;1879.386
CO0100;D671;1.0;CONV;SUM;961.582;961.582
CO0100;D672;1.0;CONV;SUM;151.6241;151.6241
CO0100;D673;1.0;CONV;SUM;1634.8310000000001;1634.831
CO0100;D674;1.0;CONV;SUM;3857.9274;3857.9274
CO0100;D675;1.0;CONV;SUM;1972.8183999999999;1972.8184
CO0100;D676;1.0;CONV;SUM;3052.8016000000002;3052.8016
CO0100;D677;1.0;CONV;SUM;4125.4628999999995;4125.4629
CO0100;D678;1.0;CONV;SUM;743.0578;743.0578
CO0100;D679;1.0;CONV;SUM;1955.4783;1955.4783
CO0100;D680;1.0;CONV;SUM;1005.419;1005.419
CO0100;D682;1.0;CONV;SUM;1685.8188;1685.8188
CO0100;D700;1.0;CONV;SUM;1166.961;1166.961
CO0100;D702;1.0;CONV;SUM;206.5;206.5
CO0100;D703;1.0;CONV;SUM;1062.0;1062.0
CO0100;D704;1.0;CONV;SUM;587.404;587.404
CO0100;D705;1.0;CONV;SUM;2198.753;2198.753
CO0100;D706;1.0;CONV;SUM;29.5;29.5
CO0100;D707;1.0;CONV;SUM;1757.315;1757.315
CO0100;D708;1.0;CONV;SUM;492.65;492.65
CO0100;D710;1.0;CONV;SUM;2478.2478;2478.2478
CO0100;D711;1.0;CONV;SUM;283.2;283.2
CO0100;D742;1.0;CONV;SUM;401.2;401.2
CO0133;D517;1.0;CONV;SUM;599.0328999999999;599.0329
CO0133;D602;1.0;CONV;SUM;943.4395;943.4395
CO0133;D603;1.0;CONV;SUM;1619.5559;1619.5559
CO0133;D606;1.0;CONV;SUM;1639.0967;1639.0967
CO0133;D608;1.0;CONV;SUM;1285.2973;1285.2973
CO0133;D609;1.0;CONV;SUM;555.1428;555.1428
CO0133;D611;1.0;CONV;SUM;1135.9034;1135.9034
CO0133;D613;1.0;CONV;SUM;2174.5276;2174.5276
CO0133;D614;1.0;CONV;SUM;1170.8255;1170.8255
CO0133;D621;1.0;CONV;SUM;280.30899999999997;280.309
CO0133;D638;1.0;CONV;SUM;180.4692;180.4692
CO0133;D657;1.0;CONV;SUM;1875.7339;1875.7339
CO0133;D669;1.0;CONV;SUM;300.6522;300.6522
CO0152;D006;1.0;CONV;SUM;488.0126;488.0126
CO0152;D404;1.0;CONV;SUM;44.0199;44.0199
CO0152;D605;1.0;CONV;SUM;2848.7796;2848.7796
CO0152;D610;1.0;CONV;SUM;3132.4811;3132.4811
CO0152;D620;1.0;CONV;SUM;965.4465;965.4465
CO0152;D631;1.0;CONV;SUM;788.4819;788.4819
CO0152;D633;1.0;CONV;SUM;1602.6937;1602.6937
CO0152;D641;1.0;CONV;SUM;85.4143;85.4143
CO0152;D643;1.0;CONV;SUM;1527.6752;1527.6752
CO0152;D644;1.0;CONV;SUM;163.2825;163.2825
CO0152;D662;1.0;CONV;SUM;360.8912;360.8912
CO0152;D664;1.0;CONV;SUM;584.1;584.1
CO0152;D666;1.0;CONV;SUM;689.5035;689.5035
CO0152;D674;1.0;CONV;SUM;3562.9097;3562.9097
CO0152;D681;1.0;CONV;SUM;1010.1921;1010.1921
CO0154;D007;1.0;CONV;SUM;87.8075;87.8075
CO0154;D216;1.0;CONV;SUM;107.41499999999999;107.415
CO0154;D404;1.0;CONV;SUM;66.022;66.022
CO0154;D441;1.0;CONV;SUM;13.717;13.717
CO0154;D613;1.0;CONV;SUM;302.621;302.621
CO0154;D617;1.0;CONV;SUM;176.968;176.968
CO0154;D633;1.0;CONV;SUM;155.947;155.947
CO0154;D662;1.0;CONV;SUM;123.37049999999999;123.3705
CO0154;D674;1.0;CONV;SUM;281.413;281.413
CO0161;D026;1.0;CONV;SUM;165.0;165.0
CO0161;D661;1.0;CONV;SUM;55.0;55.0
CO0161;D666;1.0;CONV;SUM;165.0;165.0
CO0161;D673;1.0;CONV;SUM;66.0;66.0
CO0166;D001;1.0;CONV;SUM;57.4475;57.4475
CO0166;D013;1.0;CONV;SUM;375.683;375.683
CO0166;D022;1.0;CONV;SUM;29.5955;29.5955
CO0166;D031;1.0;CONV;SUM;260.645;260.645
CO0166;D038;1.0;CONV;SUM;45.4355;45.4355
CO0166;D511;1.0;CONV;SUM;56.6555;56.6555
